Byline,Sumy,distilbart,Pegasus,TextTeaser,SMMRY,Bart,Bert,Roberta,,FirstSentence,Sumy,distilbart,Pegasus,TextTeaser,SMMRY,Bart,Bert,Roberta,,MikeSum,Sumy,distilbart,Pegasus,TextTeaser,SMMRY,Bart,Bert,Roberta,,title,Sumy,distilbart,Pegasus,TextTeaser,SMMRY,Bart,Bert,Roberta,,on Track or off Track,Bart.txt,Bert.txt,distilbart.txt,Pegasus.txt,Roberta.txt,SMMRY.txt,Sumy.txt,TextTeaser.txt
AmazonLaborPractices,0.363,0.156,0.199,0.222,0.128,0.237,0.127,0.241,,AmazonLaborPractices,0.101,0.09,0.186,0.105,0.117,0.269,1,0.235,,AmazonLaborPractices,0.161,0.127,0.086,0.146,0.209,0.145,0.186,0.111,,AmazonLaborPractices,0.086,0.064,0.066,0.08,0.067,0.102,0.074,0.105,,AmazonLaborPractices,1,0,0,0,1,1,1,0
Baby,0.175,0.222,0.317,0.317,0.229,0.338,0.175,0.222,,Baby,1,0.085,0.052,0.105,0.129,0.086,1,0.052,,Baby,0.133,0.088,0.111,0.277,0.1,0.181,0.133,0.166,,Baby,0,0.049,0.129,0.129,0,0.153,0,0.129,,Baby,1,0,0,1,0,0,0,1
BalanceBeamFinal,0.285,0.153,0.456,0.212,0.111,0.208,0.44,0.227,,BalanceBeamFinal,0.236,0.115,0.942,0.166,0.149,0.524,1,0.21,,BalanceBeamFinal,0.158,0.153,0.526,0.085,0.222,0.416,0.508,0.181,,BalanceBeamFinal,0.117,0.148,0.311,0.171,0.142,0.222,0.297,0.25,,BalanceBeamFinal,1,1,0,1,0,0,0,0
BidenPhaseOutGas,0.346,0.29,0.571,0.188,0.285,0.237,0.346,0.333,,BidenPhaseOutGas,1,0.225,0.276,0.161,0.26,0.235,1,0.412,,BidenPhaseOutGas,0.218,0.078,0.266,0.047,0.175,0.124,0.218,0.279,,BidenPhaseOutGas,0.254,0.19,0.166,0.181,0.14,0.153,0.254,0.294,,BidenPhaseOutGas,1,1,0,1,1,1,1,0
CoronavirusMisinformation,0.12,0,0.156,0.048,0.106,0.107,0.102,0.136,,CoronavirusMisinformation,0.196,0.244,0.23,0.238,0.105,0.28,1,0.266,,CoronavirusMisinformation,0.222,0.262,0.281,0.111,0.19,0.231,0.269,0.245,,CoronavirusMisinformation,0.153,0.108,0.1,0.066,0.078,0.222,0.214,0.121,,CoronavirusMisinformation,1,0,0,1,1,1,1,0
Covid_Infections,0.473,0.1,0.258,0,0.047,0.15,0.473,0.05,,Covid_Infections,1,0.214,0.255,0.085,0.137,0.285,1,0.178,,Covid_Infections,0.279,0.269,0.139,0.232,0.222,0.153,0.279,0.192,,Covid_Infections,0.432,0.102,0,0.066,0.097,0.051,0.432,0.051,,Covid_Infections,0,1,1,0,0,0,1,0
Drought,0.263,0.372,0.325,0.181,0.202,0.456,0.307,0.208,,Drought,0.133,0.275,0.333,0.222,0.102,0.25,1,0.042,,Drought,0.135,0.315,0.146,0.226,0.268,0.29,0.126,0.304,,Drought,0.037,0.108,0.095,0.181,0.051,0.057,0.186,0.076,,Drought,0,0,0,0,1,1,0,0
Elephant,0.166,0.156,0.214,0.142,0.147,0.225,0.166,0.196,,Elephant,1,0.256,0.142,0.171,0.201,0.141,1,0.213,,Elephant,0.166,0.115,0.318,0.227,0.192,0.203,0.166,0.163,,Elephant,0.166,0.25,0.25,0.25,0.169,0.127,0.166,0.162,,Elephant,0,1,0,1,0,0,1,0
EuropeCovidAidWindingDown,0.276,0.17,0.203,0.19,0.295,0.127,0.276,0.085,,EuropeCovidAidWindingDown,1,0.171,0.365,0.215,0.198,0.228,1,0.199,,EuropeCovidAidWindingDown,0.208,0.163,0.262,0.181,0.111,0.163,0.208,0.204,,EuropeCovidAidWindingDown,0.142,0.105,0.08,0.242,0.075,0.157,0.142,0.052,,EuropeCovidAidWindingDown,0,1,0,1,0,1,1,1
GermanVaxBoost,0.19,0.338,0.175,0.237,0.372,0.31,0.372,0.23,,GermanVaxBoost,0.211,0.298,0.303,0.172,1,0.45,1,0.216,,GermanVaxBoost,0.225,0.375,0.214,0.206,0.282,0.315,0.282,0.274,,GermanVaxBoost,0.099,0.095,0.176,0.055,0.222,0.228,0.222,0,,GermanVaxBoost,1,1,0,0,0,1,1,0
GlobalChipShortage,0.163,0.23,0.24,0.139,0.085,0.274,0.181,0.264,,GlobalChipShortage,0.127,0.16,0.166,0.048,0.088,0.204,1,0.235,,GlobalChipShortage,0.115,0.109,0.301,0.13,0.12,0.148,0.127,0.142,,GlobalChipShortage,0.102,0.19,0.15,0.06,0.108,0.292,0.176,0.046,,GlobalChipShortage,1,0,0,1,0,0,0,0
