Byline,Sumy,distilbart,Pegasus,TextTeaser,SMMRY,Bart,Bert,Roberta,,FirstSentence,Sumy,distilbart,Pegasus,TextTeaser,SMMRY,Bart,Bert,Roberta,,MikeSum,Sumy,distilbart,Pegasus,TextTeaser,SMMRY,Bart,Bert,Roberta,,title,Sumy,distilbart,Pegasus,TextTeaser,SMMRY,Bart,Bert,Roberta
WildfiresRavageUtahCalifornia,0.181,0.238,0.363,0.238,0.32,0.243,0.3,0.277,,WildfiresRavageUtahCalifornia,0.04,0,0.285,0.108,0.177,0.166,0.29,0.064,,WildfiresRavageUtahCalifornia,0.238,0.296,0.399,0.296,0.387,0.264,0.388,0.208,,WildfiresRavageUtahCalifornia,0.298,0.243,0.399,0.216,0.414,0.246,1,0.352
Covid_Infections,0.279,0.269,0.139,0.232,0.222,0.153,0.279,0.192,,Covid_Infections,0.432,0.102,0,0.066,0.097,0.051,0.432,0.051,,Covid_Infections,0.473,0.1,0.258,0,0.047,0.15,0.473,0.05,,Covid_Infections,1,0.214,0.255,0.085,0.137,0.285,1,0.178
RussiaBansBardCollege,0.249,0.421,0.36,0.28,0.318,0.508,0.249,0.37,,RussiaBansBardCollege,0.12,0.114,0.071,0.171,0.127,0.162,0.12,0.187,,RussiaBansBardCollege,0.067,0.227,0.216,0.136,0.071,0.13,0.067,0.146,,RussiaBansBardCollege,1,0.222,0.214,0.19,0.213,0.307,1,0.3
ExposedAtomBomb,0.228,0.115,0.193,0.571,0.359,0.137,0.185,0.327,,ExposedAtomBomb,0.235,0.121,0.232,0.133,0.11,0.307,0.228,0.333,,ExposedAtomBomb,0.156,0.13,0.178,0.465,0.245,0.115,0.25,0.326,,ExposedAtomBomb,0.156,0.26,0.321,0.279,0.393,0.307,1,0.326
NASAAsteroid,0.571,0.163,0.368,0.325,0.111,0.399,0.324,0.108,,NASAAsteroid,0.241,0.181,0.303,0.105,0.083,0.266,0.312,0.187,,NASAAsteroid,0.253,0.245,0.173,0.117,0.195,0.413,0.4,0.088,,NASAAsteroid,0.31,0.363,0.242,0.157,0.133,0.711,1,0.187
Baby,0.133,0.088,0.111,0.277,0.1,0.181,0.133,0.166,,Baby,0,0.049,0.129,0.129,0,0.153,0,0.129,,Baby,0.175,0.222,0.317,0.317,0.229,0.338,0.175,0.222,,Baby,1,0.085,0.052,0.105,0.129,0.086,1,0.052
kindergartenExodus,0.074,0.2,0.181,0.222,0.281,0.274,0.074,0.145,,kindergartenExodus,0.06,0.068,0.058,0,0.046,0.133,0.06,0.058,,kindergartenExodus,0.1,0.25,0.327,0.156,0.171,0.21,0.1,0.229,,kindergartenExodus,1,0.142,0.098,0.078,0.085,0.21,1,0.163
cutthroatIceCream,0.166,0.259,0.177,0.166,0.225,0.269,0.228,0.103,,cutthroatIceCream,0.05,0.294,0.24,0.214,0.156,0.312,0.399,0.105,,cutthroatIceCream,0.203,0.264,0.09,0.085,0.228,0.313,0.117,0.07,,cutthroatIceCream,0.097,0.228,0.23,0.137,0.153,0.242,1,0.102
BacklashRacialReckoning,0.083,0.217,0.13,0.15,0.184,0.264,0.086,0.256,,BacklashRacialReckoning,0.051,0.108,0.108,0.451,0.142,0.318,0.066,0.066,,BacklashRacialReckoning,0.065,0.237,0.169,0.113,0.102,0.242,0.219,0.192,,BacklashRacialReckoning,0.222,0.253,0.607,0.164,0.224,0.186,1,0.166
GermanVaxBoost,0.225,0.375,0.214,0.206,0.282,0.315,0.282,0.274,,GermanVaxBoost,0.099,0.095,0.176,0.055,0.222,0.228,0.222,0,,GermanVaxBoost,0.19,0.338,0.175,0.237,0.372,0.31,0.372,0.23,,GermanVaxBoost,0.211,0.298,0.303,0.172,1,0.45,1,0.216
