Byline,Sumy,distilbart,Pegasus,TextTeaser,SMMRY,Bart,Bert,Roberta,,FirstSentence,Sumy,distilbart,Pegasus,TextTeaser,SMMRY,Bart,Bert,Roberta,,MikeSum,Sumy,distilbart,Pegasus,TextTeaser,SMMRY,Bart,Bert,Roberta,,title,Sumy,distilbart,Pegasus,TextTeaser,SMMRY,Bart,Bert,Roberta,,
TitanicSurvivors,0.178,0.346,0.577,0.124,0.37,0.545,0.178,0.571,,TitanicSurvivors,1.0,0.241,0.196,0.074,0.233,0.196,1.0,0.208,,TitanicSurvivors,0.159,0.173,0.307,0.095,0.291,0.285,0.159,0.333,,TitanicSurvivors,0.222,0.243,0.176,0.162,0.139,0.227,0.222,0.322,,
PulseCombJellies,0.212,0.292,0.311,0.25,0.327,0.274,0.212,0.372,,PulseCombJellies,1.0,0.142,0.173,0.195,0.214,0.076,1.0,0.181,,PulseCombJellies,0.04,0.139,0.17,0.333,0.175,0.301,0.04,0.266,,PulseCombJellies,0.181,0.222,0.258,0.307,0.243,0.162,0.181,0.275,,
HenriWeakensTropical,0.047,0.052,0.129,0.27,0.038,0.05,0.047,0.054,,HenriWeakensTropical,1.0,0.259,0.297,0.188,0.235,0.321,1.0,0.226,,HenriWeakensTropical,0.418,0.102,0.25,0.105,0.15,0.243,0.418,0.263,,HenriWeakensTropical,0.39,0.216,0.2,0.111,0.078,0.205,0.39,0.222,,
FacebookFearingPublicOutcry,0.366,0.25,0.212,0.285,0.085,0.333,0.366,0.27,,FacebookFearingPublicOutcry,1.0,0.314,0.805,0.215,0.233,0.358,1.0,0.328,,FacebookFearingPublicOutcry,0.068,0.0,0.088,0.121,0.088,0.086,0.068,0.114,,FacebookFearingPublicOutcry,0.145,0.057,0.142,0.066,0.19,0.139,0.145,0.312,,
USExitPlan,0.034,0.044,0.0,0.108,0.128,0.083,0.044,0.113,,USExitPlan,0.253,0.206,0.227,0.24,0.213,0.262,1.0,0.272,,USExitPlan,0.153,0.269,0.21,0.181,0.155,0.327,0.23,0.333,,USExitPlan,0.04,0.108,0.086,0.0,0.019,0.0,0.108,0.0,,
InvisibleMosquitoes,0.327,0.367,0.333,0.263,0.133,0.311,0.062,0.378,,InvisibleMosquitoes,0.105,0.088,0.062,0.0,0.035,0.097,1.0,0.06,,InvisibleMosquitoes,0.179,0.327,0.19,0.136,0.06,0.196,0.052,0.186,,InvisibleMosquitoes,0.117,0.153,0.153,0.142,0.0,0.171,0.363,0.148,,
NursingCrisis,0.21,0.23,0.305,0.163,0.206,0.196,0.15,0.254,,NursingCrisis,0.206,0.075,0.133,0.12,0.204,0.115,1.0,0.142,,NursingCrisis,0.095,0.275,0.246,0.109,0.322,0.245,0.169,0.295,,NursingCrisis,0.146,0.111,0.139,0.121,0.084,0.114,0.108,0.153,,
CharlesDickensBleakHouse,0.115,0.327,0.36,0.163,0.254,0.315,0.05,0.188,,CharlesDickensBleakHouse,0.19,0.088,0.1,0.205,0.044,0.212,1.0,0.139,,CharlesDickensBleakHouse,0.173,0.081,0.409,0.139,0.244,0.352,0.117,0.212,,CharlesDickensBleakHouse,0.108,0.05,0.342,0.058,0.05,0.238,0.08,0.263,,
IndiaLivingDead,0.114,0.263,0.225,0.112,0.212,0.346,0.171,0.328,,IndiaLivingDead,0.15,0.043,0.08,0.097,0.187,0.222,1.0,0.093,,IndiaLivingDead,0.043,0.153,0.214,0.085,0.228,0.274,0.173,0.204,,IndiaLivingDead,0.0,0.205,0.186,0.0,0.14,0.105,0.181,0.222,,
CovidWipesOutTourism,0.26,0.266,0.099,0.148,0.857,0.222,0.199,0.199,,CovidWipesOutTourism,0.285,0.185,0.185,0.291,0.169,0.245,1.0,0.259,,CovidWipesOutTourism,0.264,0.305,0.135,0.113,0.236,0.258,0.203,0.305,,CovidWipesOutTourism,0.08,0.048,0.048,0.0,0.103,0.136,0.048,0.146,,
DollarPerDoughnut,0.119,0.178,0.363,0.204,0.204,0.448,0.163,0.185,,DollarPerDoughnut,0.225,0.156,0.205,0.136,0.136,0.15,1.0,0.204,,DollarPerDoughnut,0.131,0.16,0.21,0.139,0.139,0.269,0.279,0.166,,DollarPerDoughnut,0.078,0.1,0.285,0.303,0.121,0.19,0.181,0.157,,
FriendshipAntiMasker,0.153,0.175,0.204,0.086,0.139,0.133,0.095,0.172,,FriendshipAntiMasker,0.047,0.17,0.051,0.111,0.181,0.159,1.0,0.166,,FriendshipAntiMasker,0.124,0.226,0.133,0.142,0.256,0.142,0.105,0.185,,FriendshipAntiMasker,0.054,0.095,0.0,0.0,0.0,0.088,0.074,0.046,,
BurnedPawsHungryBears,0.052,0.09,0.111,0.142,0.113,0.083,0.052,0.097,,BurnedPawsHungryBears,1.0,0.09,0.0,0.19,0.132,0.25,1.0,0.195,,BurnedPawsHungryBears,0.105,0.227,0.222,0.285,0.226,0.166,0.105,0.243,,BurnedPawsHungryBears,0.129,0.162,0.344,0.057,0.101,0.195,0.129,0.294,,
PentagonOrdersCommercialAirlines,0.042,0.085,0.0,0.051,0.093,0.208,0.042,0.136,,PentagonOrdersCommercialAirlines,1.0,0.2,0.195,0.19,0.26,0.235,1.0,0.382,,PentagonOrdersCommercialAirlines,0.372,0.232,0.352,0.228,0.153,0.272,0.372,0.25,,PentagonOrdersCommercialAirlines,0.352,0.117,0.08,0.153,0.133,0.114,0.352,0.193,,
TrumpStagesAlabama,0.291,0.153,0.181,0.136,0.153,0.204,0.366,0.17,,TrumpStagesAlabama,0.285,0.271,0.566,0.191,0.404,0.282,1.0,0.315,,TrumpStagesAlabama,0.339,0.28,0.17,0.326,0.257,0.259,0.368,0.384,,TrumpStagesAlabama,0.054,0.048,0.09,0.363,0.074,0.052,0.199,0.222,,
FemaleDragQueen,0.204,0.271,0.177,0.5,0.278,0.444,0.111,0.192,,FemaleDragQueen,0.054,0.212,0.242,0.136,0.208,0.196,1.0,0.15,,FemaleDragQueen,0.324,0.34,0.303,0.454,0.268,0.549,0.142,0.25,,FemaleDragQueen,0.277,0.26,0.374,0.325,0.303,0.4,0.243,0.256,,
WhoGetsLLC,0.208,0.271,0.212,0.339,0.169,0.285,0.208,0.352,,WhoGetsLLC,1.0,0.242,0.222,0.233,0.205,0.317,1.0,0.206,,WhoGetsLLC,0.185,0.13,0.058,0.15,0.068,0.139,0.185,0.157,,WhoGetsLLC,0.08,0.19,0.333,0.055,0.074,0.256,0.08,0.058,,
ViolentChild,0.175,0.148,0.103,0.081,0.202,0.2,0.057,0.123,,ViolentChild,0.115,0.19,0.105,0.114,0.066,0.274,1.0,0.095,,ViolentChild,0.19,0.264,0.204,0.173,0.146,0.193,0.097,0.264,,ViolentChild,0.148,0.0,0.049,0.0,0.187,0.075,0.0,0.0,,
